Variable,N,Mean,Std. Dev.,Min,Pctl. 25,Pctl. 75,Max
TFIDF_approach,4000,0.003,0.011,0,0,0,0.289
TFIDF_design,4000,0.007,0.018,0,0,0.006,0.229
TFIDF_web,4000,0.005,0.015,0,0,0,0.215
TFIDF_site,4000,0.007,0.021,0,0,0,0.264
TFIDF_run,4000,0.001,0.008,0,0,0,0.15
TFIDF_mobil,4000,0.003,0.015,0,0,0,0.214
TFIDF_browser,4000,0.002,0.012,0,0,0,0.244
TFIDF_target,4000,0.001,0.009,0,0,0,0.25
TFIDF_base,4000,0.002,0.009,0,0,0,0.146
TFIDF_delet,4000,0.001,0.012,0,0,0,0.443
TFIDF_question,4000,0.004,0.011,0,0,0,0.14
TFIDF_move,4000,0.001,0.008,0,0,0,0.17
TFIDF_appli,4000,0.001,0.009,0,0,0,0.215
TFIDF_fix,4000,0.001,0.007,0,0,0,0.193
TFIDF_caus,4000,0.001,0.005,0,0,0,0.111
TFIDF_perform,4000,0.001,0.007,0,0,0,0.143
TFIDF_hard,4000,0.001,0.007,0,0,0,0.128
TFIDF_result,4000,0.003,0.014,0,0,0,0.26
TFIDF_initi,4000,0.001,0.007,0,0,0,0.155
TFIDF_load,4000,0.001,0.01,0,0,0,0.217
TFIDF_progress,4000,0.001,0.012,0,0,0,0.265
TFIDF_edit,4000,0.003,0.014,0,0,0,0.247
TFIDF_below,4000,0.002,0.009,0,0,0,0.227
TFIDF_exampl,4000,0.005,0.013,0,0,0,0.153
TFIDF_usag,4000,0.001,0.009,0,0,0,0.318
TFIDF_look,4000,0.005,0.013,0,0,0,0.155
TFIDF_valid,4000,0.001,0.01,0,0,0,0.255
TFIDF_try,4000,0.002,0.008,0,0,0,0.103
TFIDF_us,4000,0.004,0.012,0,0,0,0.136
TFIDF_issu,4000,0.001,0.007,0,0,0,0.109
TFIDF_file,4000,0.002,0.014,0,0,0,0.306
TFIDF_manag,4000,0.002,0.009,0,0,0,0.175
TFIDF_user,4000,0.011,0.014,0,0,0.018,0.158
TFIDF_chang,4000,0.003,0.011,0,0,0,0.145
TFIDF_text,4000,0.004,0.017,0,0,0,0.212
TFIDF_program,4000,0.001,0.01,0,0,0,0.19
TFIDF_current,4000,0.003,0.008,0,0,0,0.086
TFIDF_dropdown,4000,0.001,0.011,0,0,0,0.266
TFIDF_control,4000,0.003,0.014,0,0,0,0.233
TFIDF_color,4000,0.003,0.019,0,0,0,0.45
TFIDF_white,4000,0.001,0.006,0,0,0,0.149
TFIDF_provid,4000,0.002,0.009,0,0,0,0.168
TFIDF_option,4000,0.004,0.014,0,0,0,0.212
TFIDF_custom,4000,0.002,0.012,0,0,0,0.213
TFIDF_font,4000,0.002,0.02,0,0,0,0.509
TFIDF_complic,4000,0,0.005,0,0,0,0.136
TFIDF_tri,4000,0.001,0.007,0,0,0,0.253
TFIDF_applic,4000,0.006,0.016,0,0,0,0.176
TFIDF_havent,4000,0.001,0.006,0,0,0,0.087
TFIDF_countri,4000,0.001,0.01,0,0,0,0.218
TFIDF_list,4000,0.005,0.017,0,0,0,0.323
TFIDF_top,4000,0.003,0.011,0,0,0,0.171
TFIDF_normal,4000,0.001,0.008,0,0,0,0.162
TFIDF_read,4000,0.003,0.012,0,0,0,0.165
TFIDF_reason,4000,0.002,0.012,0,0,0,0.332
TFIDF_easier,4000,0.001,0.008,0,0,0,0.167
TFIDF_pick,4000,0.001,0.009,0,0,0,0.35
TFIDF_instead,4000,0.001,0.007,0,0,0,0.184
TFIDF_scroll,4000,0.002,0.014,0,0,0,0.222
TFIDF_consid,4000,0.002,0.009,0,0,0,0.169
TFIDF_featur,4000,0.002,0.01,0,0,0,0.205
TFIDF_stop,4000,0,0.005,0,0,0,0.124
TFIDF_shop,4000,0.001,0.01,0,0,0,0.322
TFIDF_drop,4000,0.001,0.011,0,0,0,0.266
TFIDF_intuit,4000,0.001,0.01,0,0,0,0.271
TFIDF_person,4000,0.002,0.01,0,0,0,0.18
TFIDF_dont,4000,0.004,0.01,0,0,0,0.108
TFIDF_inform,4000,0.003,0.011,0,0,0,0.242
TFIDF_form,4000,0.005,0.018,0,0,0,0.262
TFIDF_decid,4000,0.001,0.008,0,0,0,0.177
TFIDF_field,4000,0.004,0.019,0,0,0,0.354
TFIDF_plu,4000,0,0.004,0,0,0,0.118
TFIDF_cancel,4000,0.001,0.013,0,0,0,0.349
TFIDF_suggest,4000,0.003,0.012,0,0,0,0.212
TFIDF_action,4000,0.003,0.014,0,0,0,0.196
TFIDF_fill,4000,0.001,0.009,0,0,0,0.152
TFIDF_button,4000,0.007,0.021,0,0,0,0.39
TFIDF_appropri,4000,0.001,0.01,0,0,0,0.276
TFIDF_accept,4000,0.001,0.008,0,0,0,0.158
TFIDF_mayb,4000,0.001,0.006,0,0,0,0.103
TFIDF_feel,4000,0.002,0.009,0,0,0,0.135
TFIDF_usabl,4000,0.004,0.017,0,0,0,0.276
TFIDF_time,4000,0.004,0.012,0,0,0,0.213
TFIDF_found,4000,0.002,0.008,0,0,0,0.122
