"Variable","N","Mean","SD","N","Mean","SD"
"IsUseful","0","","","1","",""
"Id","452","15154.296","7141.398","3548","14157.239","7257.264"
"TFIDF_approach","452","0.002","0.009","3548","0.003","0.012"
"TFIDF_design","452","0.007","0.02","3548","0.007","0.018"
"TFIDF_web","452","0.006","0.019","3548","0.005","0.014"
"TFIDF_site","452","0.006","0.019","3548","0.007","0.021"
"TFIDF_run","452","0.001","0.008","3548","0.001","0.008"
"TFIDF_mobil","452","0.004","0.019","3548","0.003","0.014"
"TFIDF_browser","452","0.003","0.018","3548","0.002","0.011"
"TFIDF_target","452","0.001","0.008","3548","0.001","0.009"
"TFIDF_base","452","0.002","0.012","3548","0.002","0.009"
"TFIDF_delet","452","0.001","0.011","3548","0.001","0.012"
"TFIDF_question","452","0.004","0.012","3548","0.004","0.011"
"TFIDF_move","452","0.002","0.008","3548","0.001","0.009"
"TFIDF_appli","452","0.003","0.019","3548","0.001","0.007"
"TFIDF_fix","452","0.001","0.01","3548","0.001","0.006"
"TFIDF_caus","452","0.001","0.004","3548","0.001","0.005"
"TFIDF_perform","452","0.001","0.005","3548","0.001","0.008"
"TFIDF_hard","452","0.001","0.009","3548","0.001","0.007"
"TFIDF_result","452","0.002","0.013","3548","0.003","0.015"
"TFIDF_initi","452","0.001","0.007","3548","0.001","0.007"
"TFIDF_load","452","0.002","0.011","3548","0.001","0.01"
"TFIDF_progress","452","0.001","0.013","3548","0.001","0.011"
"TFIDF_edit","452","0.003","0.014","3548","0.003","0.014"
"TFIDF_below","452","0.002","0.009","3548","0.002","0.009"
"TFIDF_exampl","452","0.006","0.015","3548","0.005","0.013"
"TFIDF_usag","452","0.001","0.005","3548","0.001","0.009"
"TFIDF_look","452","0.007","0.016","3548","0.005","0.013"
"TFIDF_valid","452","0.001","0.006","3548","0.001","0.01"
"TFIDF_try","452","0.002","0.008","3548","0.002","0.008"
"TFIDF_us","452","0.004","0.011","3548","0.004","0.012"
"TFIDF_issu","452","0.001","0.006","3548","0.002","0.007"
"TFIDF_file","452","0.002","0.015","3548","0.002","0.013"
"TFIDF_manag","452","0.002","0.009","3548","0.002","0.009"
"TFIDF_user","452","0.011","0.014","3548","0.011","0.014"
"TFIDF_chang","452","0.003","0.011","3548","0.003","0.011"
"TFIDF_text","452","0.004","0.016","3548","0.004","0.017"
"TFIDF_program","452","0.001","0.007","3548","0.001","0.01"
"TFIDF_current","452","0.002","0.008","3548","0.003","0.009"
"TFIDF_dropdown","452","0.001","0.008","3548","0.001","0.012"
"TFIDF_control","452","0.003","0.013","3548","0.003","0.014"
"TFIDF_color","452","0.002","0.014","3548","0.003","0.02"
"TFIDF_white","452","0","0.004","3548","0.001","0.007"
"TFIDF_provid","452","0.002","0.008","3548","0.002","0.01"
"TFIDF_option","452","0.004","0.013","3548","0.004","0.014"
"TFIDF_custom","452","0.002","0.01","3548","0.002","0.012"
"TFIDF_font","452","0.002","0.021","3548","0.002","0.02"
"TFIDF_complic","452","0","0.003","3548","0.001","0.005"
"TFIDF_tri","452","0.001","0.007","3548","0.001","0.008"
"TFIDF_applic","452","0.006","0.018","3548","0.006","0.016"
"TFIDF_havent","452","0","0.004","3548","0.001","0.006"
"TFIDF_countri","452","0","0.006","3548","0.001","0.011"
"TFIDF_list","452","0.006","0.023","3548","0.005","0.016"
